Date,Actual,Forecast
5469,1296.0,1966.3984553654786
5470,1200.0,1966.3984553654786
5471,1080.0,1966.3984553654786
5472,1080.0,1966.3984553654786
5473,2700.0,1966.3984553654786
5474,1620.0,1966.3984553654786
5475,1080.0,1966.3984553654786
5476,864.0,1966.3984553654786
5477,918.0,1966.3984553654786
5478,2000.0,1966.3984553654786
5479,810.0,1966.3984553654786
5480,918.0,1966.3984553654786
5481,1080.0,1966.3984553654786
5482,972.0,1966.3984553654786
5483,3500.0,1966.3984553654786
5484,1300.0,1966.3984553654786
5485,6264.0,1966.3984553654786
5486,1080.0,1966.3984553654786
5487,864.0,1966.3984553654786
5488,3240.0,1966.3984553654786
5489,54.0,1966.3984553654786
5490,4320.0,1966.3984553654786
5491,2500.0,1966.3984553654786
5492,2376.0,1966.3984553654786
5493,5000.0,1966.3984553654786
5494,6500.0,1966.3984553654786
5495,5000.0,1966.3984553654786
5496,3780.0,1966.3984553654786
5497,270.0,1966.3984553654786
5498,3888.0,1966.3984553654786
5499,540.0,1966.3984553654786
5500,3240.0,1966.3984553654786
5501,3240.0,1966.3984553654786
5502,918.0,1966.3984553654786
5503,1404.0,1966.3984553654786
5504,1080.0,1966.3984553654786
5505,9936.0,1966.3984553654786
5506,9180.0,1966.3984553654786
5507,1000.0,1966.3984553654786
5508,1500.0,1966.3984553654786
5509,2500.0,1966.3984553654786
5510,2700.0,1966.3984553654786
5511,3000.0,1966.3984553654786
5512,86.4,1966.3984553654786
5513,1080.0,1966.3984553654786
5514,2700.0,1966.3984553654786
5515,4320.0,1966.3984553654786
5516,1500.0,1966.3984553654786
5517,1500.0,1966.3984553654786
5518,1500.0,1966.3984553654786
5519,1500.0,1966.3984553654786
5520,1150.0,1966.3984553654786
5521,1500.0,1966.3984553654786
5522,1100.0,1966.3984553654786
5523,3240.0,1966.3984553654786
5524,3240.0,1966.3984553654786
5525,1944.0,1966.3984553654786
5526,2700.0,1966.3984553654786
5527,2700.0,1966.3984553654786
5528,15000.0,1966.3984553654786
5529,4000.0,1966.3984553654786
5530,17820.0,1966.3984553654786
5531,4320.0,1966.3984553654786
5532,216.0,1966.3984553654786
5533,1500.0,1966.3984553654786
5534,2700.0,1966.3984553654786
5535,864.0,1966.3984553654786
5536,1500.0,1966.3984553654786
5537,1944.0,1966.3984553654786
5538,216.0,1966.3984553654786
5539,200.0,1966.3984553654786
5540,1080.0,1966.3984553654786
5541,1620.0,1966.3984553654786
5542,1080.0,1966.3984553654786
5543,1200.0,1966.3984553654786
5544,864.0,1966.3984553654786
5545,270.0,1966.3984553654786
5546,972.0,1966.3984553654786
5547,972.0,1966.3984553654786
5548,918.0,1966.3984553654786
5549,918.0,1966.3984553654786
5550,918.0,1966.3984553654786
5551,850.0,1966.3984553654786
5552,850.0,1966.3984553654786
5553,850.0,1966.3984553654786
5554,918.0,1966.3984553654786
5555,3024.0,1966.3984553654786
5556,1000.0,1966.3984553654786
5557,2000.0,1966.3984553654786
5558,1620.0,1966.3984553654786
5559,1404.0,1966.3984553654786
5560,1500.0,1966.3984553654786
5561,1296.0,1966.3984553654786
5562,1620.0,1966.3984553654786
5563,3024.0,1966.3984553654786
5564,1296.0,1966.3984553654786
5565,108.0,1966.3984553654786
5566,2700.0,1966.3984553654786
5567,2700.0,1966.3984553654786
5568,3200.0,1966.3984553654786
5569,250.0,1966.3984553654786
5570,850.0,1966.3984553654786
5571,918.0,1966.3984553654786
5572,864.0,1966.3984553654786
5573,800.0,1966.3984553654786
5574,1500.0,1966.3984553654786
5575,1500.0,1966.3984553654786
5576,2700.0,1966.3984553654786
5577,2500.0,1966.3984553654786
5578,2800.0,1966.3984553654786
5579,200.0,1966.3984553654786
5580,1500.0,1966.3984553654786
5581,300.0,1966.3984553654786
5582,250.0,1966.3984553654786
5583,1080.0,1966.3984553654786
5584,3024.0,1966.3984553654786
5585,1296.0,1966.3984553654786
5586,880.0,1966.3984553654786
5587,2700.0,1966.3984553654786
5588,918.0,1966.3984553654786
5589,2000.0,1966.3984553654786
5590,2600.0,1966.3984553654786
5591,3500.0,1966.3984553654786
5592,1500.0,1966.3984553654786
5593,1500.0,1966.3984553654786
5594,1500.0,1966.3984553654786
5595,1500.0,1966.3984553654786
5596,2600.0,1966.3984553654786
5597,5400.0,1966.3984553654786
5598,12960.0,1966.3984553654786
5599,3500.0,1966.3984553654786
5600,3000.0,1966.3984553654786
5601,540.0,1966.3984553654786
5602,5940.0,1966.3984553654786
5603,1200.0,1966.3984553654786
5604,850.0,1966.3984553654786
5605,1188.0,1966.3984553654786
5606,1296.0,1966.3984553654786
5607,1296.0,1966.3984553654786
5608,1200.0,1966.3984553654786
5609,1000.0,1966.3984553654786
5610,1944.0,1966.3984553654786
5611,2700.0,1966.3984553654786
5612,1000.0,1966.3984553654786
5613,4104.0,1966.3984553654786
5614,4860.0,1966.3984553654786
5615,1620.0,1966.3984553654786
5616,918.0,1966.3984553654786
5617,4104.0,1966.3984553654786
5618,3780.0,1966.3984553654786
5619,5940.0,1966.3984553654786
5620,1296.0,1966.3984553654786
5621,5832.0,1966.3984553654786
5622,5400.0,1966.3984553654786
5623,5000.0,1966.3984553654786
5624,4000.0,1966.3984553654786
5625,6048.0,1966.3984553654786
5626,500.0,1966.3984553654786
5627,810.0,1966.3984553654786
5628,700.0,1966.3984553654786
5629,54.0,1966.3984553654786
5630,2500.0,1966.3984553654786
5631,5500.0,1966.3984553654786
5632,2600.0,1966.3984553654786
5633,9720.0,1966.3984553654786
5634,6500.0,1966.3984553654786
5635,1080.0,1966.3984553654786
5636,12744.0,1966.3984553654786
5637,1296.0,1966.3984553654786
5638,250.0,1966.3984553654786
5639,2160.0,1966.3984553654786
5640,7500.0,1966.3984553654786
5641,2700.0,1966.3984553654786
5642,7020.0,1966.3984553654786
5643,810.0,1966.3984553654786
5644,3240.0,1966.3984553654786
5645,6000.0,1966.3984553654786
5646,1500.0,1966.3984553654786
5647,850.0,1966.3984553654786
5648,648.0,1966.3984553654786
5649,50.0,1966.3984553654786
5650,17820.0,1966.3984553654786
5651,810.0,1966.3984553654786
5652,2000.0,1966.3984553654786
5653,2700.0,1966.3984553654786
5654,200.0,1966.3984553654786
5655,432.0,1966.3984553654786
5656,54.0,1966.3984553654786
5657,2000.0,1966.3984553654786
5658,2500.0,1966.3984553654786
5659,3200.0,1966.3984553654786
5660,2600.0,1966.3984553654786
5661,3000.0,1966.3984553654786
5662,800.0,1966.3984553654786
5663,2800.0,1966.3984553654786
5664,50.0,1966.3984553654786
5665,648.0,1966.3984553654786
5666,1500.0,1966.3984553654786
5667,1080.0,1966.3984553654786
5668,1944.0,1966.3984553654786
5669,810.0,1966.3984553654786
5670,700.0,1966.3984553654786
5671,850.0,1966.3984553654786
5672,3800.0,1966.3984553654786
5673,20.0,1966.3984553654786
5674,1080.0,1966.3984553654786
5675,1296.0,1966.3984553654786
5676,918.0,1966.3984553654786
5677,1080.0,1966.3984553654786
5678,500.0,1966.3984553654786
5679,2160.0,1966.3984553654786
5680,1080.0,1966.3984553654786
5681,1296.0,1966.3984553654786
5682,324.0,1966.3984553654786
5683,1000.0,1966.3984553654786
5684,2700.0,1966.3984553654786
5685,500.0,1966.3984553654786
5686,432.0,1966.3984553654786
5687,1620.0,1966.3984553654786
5688,3600.0,1966.3984553654786
5689,108.0,1966.3984553654786
5690,216.0,1966.3984553654786
5691,432.0,1966.3984553654786
5692,850.0,1966.3984553654786
5693,2376.0,1966.3984553654786
5694,216.0,1966.3984553654786
5695,918.0,1966.3984553654786
5696,3024.0,1966.3984553654786
5697,500.0,1966.3984553654786
5698,13500.0,1966.3984553654786
5699,3800.0,1966.3984553654786
5700,2160.0,1966.3984553654786
5701,200.0,1966.3984553654786
5702,32000.0,1966.3984553654786
5703,648.0,1966.3984553654786
5704,2700.0,1966.3984553654786
5705,1620.0,1966.3984553654786
5706,2500.0,1966.3984553654786
5707,750.0,1966.3984553654786
5708,432.0,1966.3984553654786
5709,60.0,1966.3984553654786
5710,1500.0,1966.3984553654786
5711,550.0,1966.3984553654786
5712,2700.0,1966.3984553654786
5713,324.0,1966.3984553654786
5714,750.0,1966.3984553654786
5715,1600.0,1966.3984553654786
5716,2700.0,1966.3984553654786
5717,54.0,1966.3984553654786
5718,2600.0,1966.3984553654786
5719,86.4,1966.3984553654786
5720,54.0,1966.3984553654786
5721,1620.0,1966.3984553654786
5722,864.0,1966.3984553654786
5723,1620.0,1966.3984553654786
5724,972.0,1966.3984553654786
5725,2500.0,1966.3984553654786
5726,129.6,1966.3984553654786
5727,1400.0,1966.3984553654786
5728,2000.0,1966.3984553654786
5729,810.0,1966.3984553654786
5730,1080.0,1966.3984553654786
5731,918.0,1966.3984553654786
5732,216.0,1966.3984553654786
5733,8100.0,1966.3984553654786
5734,108.0,1966.3984553654786
5735,1188.0,1966.3984553654786
5736,1000.0,1966.3984553654786
5737,1500.0,1966.3984553654786
5738,1620.0,1966.3984553654786
5739,864.0,1966.3984553654786
5740,6500.0,1966.3984553654786
5741,6500.0,1966.3984553654786
5742,7560.0,1966.3984553654786
5743,7560.0,1966.3984553654786
5744,7560.0,1966.3984553654786
5745,7000.0,1966.3984553654786
5746,6500.0,1966.3984553654786
5747,4320.0,1966.3984553654786
5748,500.0,1966.3984553654786
5749,1080.0,1966.3984553654786
5750,918.0,1966.3984553654786
5751,1080.0,1966.3984553654786
5752,1296.0,1966.3984553654786
5753,648.0,1966.3984553654786
5754,1700.0,1966.3984553654786
5755,1620.0,1966.3984553654786
5756,2000.0,1966.3984553654786
5757,200.0,1966.3984553654786
5758,2000.0,1966.3984553654786
5759,8200.0,1966.3984553654786
5760,50.0,1966.3984553654786
5761,2300.0,1966.3984553654786
5762,2700.0,1966.3984553654786
5763,200.0,1966.3984553654786
5764,4250.0,1966.3984553654786
5765,2160.0,1966.3984553654786
5766,8640.0,1966.3984553654786
5767,648.0,1966.3984553654786
5768,864.0,1966.3984553654786
5769,1296.0,1966.3984553654786
5770,918.0,1966.3984553654786
5771,1836.0,1966.3984553654786
5772,1000.0,1966.3984553654786
5773,1600.0,1966.3984553654786
5774,1620.0,1966.3984553654786
